address,opepen_count,checks_original_80_count,checks_original_40_count,checks_original_20_count,checks_original_10_count,checks_original_5_count,checks_original_4_count,checks_original_1_count,opepens
0xf56345338cb4cddaf915ebef3bfde63e70fe3053,666,0,0,0,0,1,0,0,"454, 534, 718, 719, 768, 908, 935, 952, 1026, 1075, 1080, 1081, 1132, 1186, 1276, 1281, 1359, 1376, 1377, 1392, 1416, 1418, 1456, 1468, 1482, 1619, 1674, 1694, 1705, 1714, 1723, 1740, 1758, 1840, 1887, 1935, 1953, 1958, 2073, 2080, 2139, 2141, 2201, 2231, 2281, 2351, 2366, 2367, 2378, 2404, 2478, 2520, 2547, 2576, 2602, 2681, 2704, 2719, 2720, 2732, 2757, 2768, 2785, 2847, 2862, 2896, 2903, 2921, 2925, 2929, 2946, 2956, 3015, 3046, 3068, 3079, 3173, 3243, 3250, 3251, 3263, 3311, 3356, 3482, 3488, 3494, 3508, 3579, 3585, 3606, 3638, 3681, 3683, 3685, 3702, 3713, 3736, 3741, 3755, 3777, 3779, 3796, 3805, 3827, 3890, 3891, 3936, 3945, 3954, 3994, 3997, 4011, 4036, 4050, 4053, 4066, 4093, 4120, 4127, 4144, 4146, 4163, 4181, 4196, 4302, 4309, 4333, 4344, 4374, 4397, 4456, 4501, 4509, 4541, 4565, 4600, 4615, 4638, 4647, 4662, 4682, 4754, 4765, 4797, 4838, 4869, 4882, 4917, 4922, 4940, 4955, 4975, 5007, 5048, 5060, 5066, 5070, 5074, 5093, 5105, 5116, 5119, 5121, 5122, 5138, 5174, 5190, 5210, 5224, 5236, 5268, 5281, 5303, 5314, 5350, 5408, 5437, 5443, 5474, 5543, 5580, 5596, 5618, 5698, 5755, 5772, 5788, 5791, 5943, 5958, 5998, 6001, 6071, 6110, 6117, 6140, 6141, 6183, 6218, 6220, 6222, 6324, 6325, 6331, 6386, 6398, 6401, 6422, 6466, 6502, 6519, 6535, 6570, 6578, 6597, 6617, 6619, 6634, 6664, 6674, 6735, 6758, 6769, 6792, 6796, 6825, 6828, 6937, 6971, 7043, 7060, 7074, 7076, 7104, 7124, 7136, 7234, 7257, 7289, 7383, 7386, 7411, 7425, 7427, 7434, 7510, 7532, 7538, 7595, 7599, 7630, 7633, 7642, 7647, 7653, 7712, 7779, 7789, 7812, 7819, 7833, 7842, 7843, 7916, 7920, 7933, 7948, 7985, 7994, 8024, 8045, 8055, 8083, 8094, 8127, 8136, 8138, 8144, 8170, 8220, 8251, 8255, 8266, 8272, 8287, 8289, 8320, 8328, 8329, 8331, 8343, 8357, 8362, 8373, 8375, 8392, 8401, 8408, 8427, 8429, 8467, 8489, 8520, 8536, 8562, 8570, 8639, 8640, 8703, 8705, 8710, 8731, 8739, 8758, 8767, 8794, 8825, 8830, 8867, 8871, 8904, 8924, 8940, 8953, 8973, 8978, 8988, 8990, 9006, 9008, 9029, 9045, 9066, 9095, 9097, 9117, 9145, 9147, 9156, 9170, 9177, 9210, 9213, 9268, 9273, 9274, 9275, 9283, 9297, 9330, 9368, 9373, 9399, 9405, 9513, 9528, 9541, 9573, 9607, 9611, 9614, 9618, 9632, 9642, 9652, 9656, 9666, 9670, 9677, 9722, 9744, 9770, 9783, 9796, 9811, 9843, 9866, 9905, 9929, 9937, 9970, 10005, 10046, 10060, 10079, 10082, 10083, 10090, 10105, 10129, 10147, 10164, 10165, 10194, 10198, 10232, 10233, 10268, 10319, 10337, 10343, 10350, 10375, 10397, 10418, 10435, 10484, 10540, 10555, 10580, 10586, 10607, 10610, 10672, 10673, 10688, 10707, 10713, 10716, 10782, 10805, 10828, 10842, 10861, 10967, 10992, 10993, 10994, 11014, 11018, 11036, 11040, 11046, 11048, 11057, 11059, 11068, 11083, 11098, 11105, 11108, 11118, 11191, 11214, 11225, 11228, 11270, 11276, 11294, 11305, 11348, 11381, 11410, 11412, 11425, 11439, 11458, 11492, 11524, 11527, 11529, 11575, 11582, 11585, 11602, 11603, 11608, 11621, 11629, 11688, 11719, 11732, 11737, 11750, 11761, 11765, 11771, 11774, 11820, 11833, 11835, 11841, 11930, 11951, 11963, 11980, 11988, 11999, 12003, 12010, 12092, 12099, 12102, 12130, 12132, 12143, 12150, 12171, 12180, 12182, 12195, 12200, 12220, 12244, 12296, 12298, 12309, 12320, 12330, 12334, 12360, 12441, 12554, 12567, 12592, 12594, 12598, 12642, 12643, 12664, 12676, 12736, 12745, 12810, 12825, 12826, 12842, 12854, 12859, 12888, 12897, 12906, 12914, 12926, 12933, 12943, 12959, 12974, 13020, 13041, 13054, 13098, 13110, 13130, 13133, 13163, 13185, 13198, 13205, 13258, 13340, 13386, 13408, 13435, 13463, 13506, 13612, 13626, 13628, 13639, 13667, 13693, 13696, 13720, 13725, 13758, 13791, 13799, 13811, 13815, 13841, 13869, 13882, 13885, 13914, 13925, 13946, 13952, 13956, 13958, 14014, 14035, 14110, 14112, 14127, 14180, 14223, 14243, 14293, 14316, 14325, 14351, 14355, 14384, 14388, 14392, 14406, 14430, 14516, 14545, 14586, 14612, 14620, 14626, 14628, 14641, 14663, 14676, 14702, 14720, 14747, 14764, 14767, 14770, 14775, 14780, 14850, 14890, 14892, 14904, 14906, 14960, 15015, 15027, 15037, 15046, 15077, 15089, 15116, 15119, 15121, 15126, 15132, 15137, 15140, 15169, 15190, 15218, 15247, 15297, 15301, 15376, 15413, 15421, 15443, 15497, 15539, 15542, 15544, 15573, 15597, 15657, 15681, 15726, 15737, 15779, 15824, 15838, 15844, 15869, 15871, 15884, 15888, 15923, 15933, 15948"
0x3689c216f8f6ce7e2ce2a27c81a23096a787f532,538,51,8,4,1,1,0,0,"1, 326, 459, 848, 849, 924, 1087, 1116, 1118, 1179, 1182, 1199, 1211, 1223, 1232, 1258, 1280, 1328, 1368, 1489, 1515, 1545, 1565, 1567, 1573, 1610, 1632, 1646, 1703, 1736, 1785, 1846, 1908, 1914, 1941, 1964, 2092, 2136, 2169, 2194, 2225, 2310, 2321, 2329, 2357, 2465, 2471, 2528, 2589, 2596, 2628, 2654, 2723, 2745, 2763, 2830, 2866, 2877, 2919, 2920, 2941, 2951, 3007, 3041, 3057, 3063, 3064, 3119, 3184, 3223, 3229, 3279, 3308, 3376, 3411, 3427, 3438, 3510, 3518, 3584, 3599, 3695, 3699, 3721, 3748, 3828, 3835, 3903, 3913, 3921, 3927, 3934, 3937, 3941, 3944, 3984, 4003, 4041, 4049, 4058, 4080, 4085, 4089, 4130, 4134, 4175, 4213, 4221, 4247, 4256, 4270, 4293, 4298, 4315, 4324, 4329, 4345, 4355, 4360, 4362, 4373, 4390, 4419, 4437, 4491, 4515, 4532, 4535, 4542, 4556, 4577, 4582, 4584, 4613, 4619, 4620, 4626, 4636, 4757, 4763, 4772, 4773, 4790, 4803, 4843, 4862, 4914, 4941, 4943, 4961, 4965, 4997, 5036, 5094, 5159, 5165, 5199, 5225, 5250, 5254, 5288, 5381, 5402, 5450, 5453, 5471, 5492, 5528, 5686, 5735, 5818, 5822, 5855, 5859, 5908, 5914, 5936, 5973, 5977, 5980, 6002, 6005, 6020, 6022, 6026, 6041, 6068, 6076, 6102, 6132, 6153, 6207, 6209, 6221, 6288, 6318, 6342, 6373, 6495, 6509, 6511, 6515, 6586, 6627, 6630, 6652, 6707, 6739, 6750, 6806, 6815, 6820, 6858, 6893, 6909, 6936, 6963, 6968, 7011, 7031, 7066, 7068, 7102, 7154, 7167, 7211, 7231, 7239, 7284, 7315, 7318, 7330, 7368, 7387, 7389, 7442, 7455, 7459, 7469, 7471, 7489, 7501, 7552, 7558, 7605, 7624, 7629, 7668, 7687, 7695, 7709, 7793, 7823, 7878, 7921, 7935, 7966, 7967, 7970, 7974, 8017, 8027, 8031, 8074, 8163, 8175, 8196, 8217, 8222, 8242, 8243, 8245, 8295, 8297, 8380, 8410, 8422, 8479, 8511, 8528, 8532, 8537, 8558, 8588, 8609, 8642, 8691, 8692, 8729, 8779, 8852, 8909, 8918, 8942, 8966, 9027, 9038, 9049, 9173, 9178, 9181, 9230, 9247, 9277, 9316, 9322, 9333, 9335, 9390, 9417, 9463, 9482, 9484, 9549, 9561, 9578, 9651, 9671, 9729, 9787, 9832, 10099, 10117, 10120, 10126, 10204, 10231, 10251, 10262, 10370, 10414, 10448, 10493, 10528, 10557, 10595, 10599, 10628, 10664, 10691, 10701, 10736, 10739, 10888, 10899, 10959, 11032, 11039, 11103, 11132, 11135, 11158, 11177, 11187, 11189, 11243, 11269, 11272, 11275, 11322, 11337, 11350, 11353, 11388, 11411, 11416, 11464, 11473, 11506, 11559, 11563, 11580, 11586, 11604, 11638, 11713, 11731, 11738, 11757, 11779, 11804, 11829, 11842, 11891, 11913, 12030, 12045, 12058, 12073, 12096, 12137, 12151, 12185, 12186, 12187, 12227, 12279, 12281, 12377, 12425, 12440, 12454, 12510, 12559, 12596, 12612, 12705, 12731, 12758, 12773, 12792, 12881, 12910, 12922, 12936, 12962, 12995, 13023, 13092, 13103, 13118, 13138, 13153, 13162, 13169, 13193, 13237, 13270, 13290, 13317, 13326, 13329, 13359, 13366, 13438, 13454, 13482, 13504, 13507, 13510, 13536, 13588, 13603, 13621, 13765, 13768, 13769, 13784, 13824, 13831, 13837, 13839, 13840, 13847, 13878, 13880, 13930, 13982, 14009, 14048, 14169, 14172, 14198, 14279, 14301, 14333, 14344, 14370, 14409, 14435, 14610, 14648, 14656, 14661, 14692, 14693, 14709, 14725, 14743, 14779, 14788, 14811, 14821, 14829, 14831, 14832, 14854, 14869, 14921, 14945, 14949, 14950, 14970, 14993, 14997, 15002, 15025, 15122, 15130, 15150, 15156, 15205, 15206, 15223, 15231, 15283, 15330, 15341, 15361, 15384, 15436, 15437, 15471, 15487, 15508, 15509, 15512, 15519, 15575, 15591, 15617, 15622, 15656, 15669, 15672, 15682, 15709, 15719, 15761, 15768, 15784, 15794, 15864, 15876, 15889, 15926, 15942, 15950"
0xaec4075e4fc8ce829bc4f0cfd5e2fa10dd2b12d1,395,40,1,3,1,0,0,1,"431, 462, 530, 1054, 1231, 1268, 1308, 1342, 1373, 1395, 1430, 1434, 1438, 1510, 1560, 1585, 1611, 1639, 1693, 1732, 1734, 1847, 1868, 1875, 1903, 1982, 1989, 2106, 2210, 2233, 2258, 2373, 2431, 2441, 2453, 2502, 2505, 2773, 2806, 2827, 2859, 3002, 3187, 3281, 3307, 3432, 3433, 3591, 3623, 3729, 3754, 3793, 3832, 3928, 3963, 4012, 4027, 4077, 4171, 4172, 4183, 4228, 4263, 4338, 4366, 4441, 4670, 4720, 4753, 4760, 4842, 4956, 5217, 5272, 5280, 5304, 5348, 5442, 5495, 5578, 5613, 5701, 5706, 5717, 5720, 5748, 5778, 5877, 5886, 5956, 5969, 5974, 5982, 6055, 6059, 6145, 6156, 6187, 6229, 6245, 6296, 6298, 6299, 6303, 6304, 6305, 6306, 6309, 6312, 6314, 6379, 6393, 6472, 6481, 6520, 6601, 6644, 6687, 6834, 6869, 6876, 6895, 6911, 6921, 6953, 6984, 6992, 7013, 7057, 7133, 7194, 7199, 7247, 7264, 7354, 7362, 7423, 7446, 7481, 7503, 7524, 7526, 7593, 7638, 7688, 7729, 7769, 7826, 7845, 7899, 7932, 7950, 7973, 7981, 7996, 8054, 8146, 8262, 8268, 8277, 8407, 8482, 8519, 8556, 8571, 8655, 8656, 8664, 8678, 8724, 8744, 8768, 8781, 8836, 8846, 8882, 8949, 9041, 9046, 9072, 9086, 9120, 9129, 9146, 9171, 9201, 9270, 9280, 9296, 9324, 9383, 9386, 9425, 9428, 9445, 9474, 9489, 9589, 9594, 9616, 9653, 9655, 9738, 9800, 9846, 9864, 9916, 10018, 10040, 10059, 10071, 10250, 10255, 10304, 10313, 10321, 10327, 10510, 10518, 10592, 10593, 10623, 10696, 10733, 10734, 10778, 10786, 10835, 10901, 10920, 10934, 10937, 10948, 10997, 10998, 11029, 11106, 11183, 11203, 11226, 11256, 11258, 11274, 11323, 11338, 11382, 11543, 11558, 11584, 11616, 11668, 11675, 11676, 11679, 11698, 11725, 11805, 11884, 11916, 12044, 12068, 12080, 12093, 12112, 12125, 12214, 12229, 12233, 12235, 12250, 12252, 12276, 12278, 12284, 12386, 12429, 12464, 12495, 12525, 12530, 12545, 12620, 12632, 12686, 12697, 12734, 12741, 12743, 12746, 12756, 12774, 12794, 12816, 12847, 12872, 12968, 13016, 13087, 13105, 13189, 13191, 13196, 13212, 13262, 13337, 13393, 13443, 13453, 13462, 13470, 13500, 13516, 13527, 13557, 13568, 13586, 13590, 13608, 13627, 13636, 13655, 13689, 13700, 13713, 13715, 13742, 13767, 13800, 13808, 13816, 13917, 13954, 13999, 14013, 14051, 14125, 14137, 14165, 14264, 14280, 14294, 14302, 14361, 14381, 14397, 14447, 14449, 14450, 14454, 14455, 14457, 14464, 14484, 14494, 14520, 14549, 14588, 14594, 14617, 14633, 14704, 14758, 14797, 14808, 14833, 14865, 14977, 14979, 15004, 15020, 15074, 15096, 15097, 15098, 15115, 15125, 15166, 15233, 15305, 15308, 15347, 15356, 15375, 15423, 15553, 15554, 15600, 15648, 15649, 15703, 15717, 15890, 15935, 15956, 15993"
0xf0d919bf7cd8a631fb8261efd4e8ff7631e27825,174,0,0,0,1,0,0,0,"683, 1191, 1540, 1802, 1810, 1860, 2397, 2480, 2664, 2708, 2871, 2902, 2953, 2954, 3029, 3056, 3088, 3130, 3152, 3162, 3385, 3521, 3640, 3740, 3789, 3953, 4153, 4222, 4233, 4244, 4255, 4348, 4440, 4449, 4481, 4525, 4716, 4726, 4756, 4784, 4814, 4818, 4946, 4994, 5054, 5065, 5291, 5322, 5379, 5477, 5530, 5540, 5884, 5892, 6226, 6231, 6275, 6315, 6338, 6468, 6494, 6560, 6638, 6678, 6752, 6753, 6763, 6766, 6840, 6924, 6975, 7034, 7062, 7065, 7179, 7428, 7721, 7764, 7767, 7904, 7993, 8394, 8648, 8687, 8813, 8993, 9172, 9410, 9437, 9554, 9584, 9626, 9772, 9899, 9910, 9938, 9941, 10017, 10031, 10066, 10355, 10372, 10454, 10481, 10495, 10514, 10527, 10562, 10614, 10615, 10629, 10728, 10783, 10848, 10918, 11021, 11116, 11175, 11195, 11845, 11853, 11855, 11873, 12206, 12260, 12292, 12302, 12443, 12566, 12568, 12724, 12749, 13095, 13297, 13306, 13481, 13605, 13615, 13774, 13893, 13905, 13961, 14136, 14284, 14297, 14353, 14527, 14571, 14587, 14653, 14701, 14738, 14803, 14857, 14897, 15039, 15062, 15105, 15114, 15193, 15271, 15276, 15349, 15382, 15465, 15569, 15595, 15623, 15629, 15676, 15689, 15740, 15775, 15848"
0x16a2ebd556af2a39eba349be7d6eba7a57c47711,122,10,3,3,0,0,0,1,"45, 51, 92, 98, 272, 317, 320, 495, 551, 581, 598, 619, 660, 696, 724, 732, 786, 806, 819, 822, 865, 914, 930, 940, 946, 967, 983, 1003, 1031, 1157, 1170, 1277, 1317, 1360, 1613, 1631, 1676, 1796, 1800, 1863, 1938, 1952, 1962, 1978, 2008, 2010, 2021, 2025, 2030, 2036, 2039, 2041, 2204, 2227, 2297, 2428, 2448, 2454, 2833, 3168, 3561, 3669, 3730, 3764, 3776, 3868, 3878, 4007, 4024, 4141, 4269, 4767, 4848, 5005, 5095, 5234, 5345, 5414, 5445, 5513, 5678, 6000, 6080, 6179, 6391, 6456, 6529, 6696, 6764, 6789, 6829, 7000, 7070, 7192, 7766, 7773, 7774, 7880, 8008, 8078, 8080, 8214, 8288, 8302, 8575, 8807, 8873, 8899, 9119, 9374, 9571, 9898, 10036, 10680, 10980, 11037, 12293, 13666, 14242, 15409, 15683, 15776"
0x4887634010a5f951af5532423934f626dea3f391,119,0,0,0,0,0,0,0,"1093, 1209, 1335, 1477, 1487, 1516, 1681, 2244, 2263, 2396, 2409, 2530, 2792, 2891, 3312, 3343, 3382, 3413, 3431, 3602, 4432, 4507, 4530, 4531, 4572, 4723, 4871, 4883, 5483, 5644, 5648, 5875, 5895, 6015, 6313, 6536, 6646, 6716, 6852, 6875, 6915, 6964, 7311, 7339, 7452, 7482, 7637, 7649, 7677, 7680, 7681, 8006, 8084, 8318, 8403, 8533, 8699, 8726, 8793, 8796, 8908, 8919, 9065, 9182, 9196, 9492, 9562, 9604, 9615, 9650, 9730, 9750, 9754, 9802, 9805, 9852, 10719, 10745, 10823, 10966, 11043, 11076, 11180, 11211, 11230, 11316, 11386, 11418, 11590, 11786, 11803, 11959, 12238, 12310, 12380, 12740, 12929, 13058, 13207, 13271, 13396, 13505, 13794, 13974, 14058, 14129, 14266, 14364, 14506, 14722, 14858, 14932, 15241, 15256, 15447, 15584, 15750, 15877, 15924"
0x2ca212af7e65631d46a1cf406427f257d2976a71,100,3,0,0,0,0,0,0,"1709, 1713, 1806, 1969, 2209, 2294, 2435, 2455, 2559, 2601, 2726, 2772, 2775, 3209, 3434, 3792, 4091, 4706, 4725, 4859, 4877, 5405, 5565, 5660, 5773, 5836, 5850, 5854, 5870, 6044, 6051, 6105, 6190, 6326, 6548, 6651, 6673, 6813, 6950, 7381, 7422, 7739, 7837, 8035, 8236, 8559, 8564, 8671, 8944, 9001, 9036, 9132, 9250, 9475, 9568, 9687, 9701, 9829, 10384, 10416, 10577, 10821, 10872, 11427, 11471, 11491, 11545, 11885, 11971, 12346, 12423, 12601, 12608, 13009, 13081, 13304, 13391, 13417, 13614, 13681, 13686, 13716, 13771, 13812, 13827, 13849, 14123, 14203, 14440, 14705, 14792, 14974, 15031, 15061, 15257, 15404, 15562, 15625, 15722, 15930"
0x67164d8853d3dc9ab5d11cb6744e6f04401cf772,99,20,0,0,0,0,0,0,"208, 1357, 1371, 1413, 1707, 1790, 1902, 1934, 1955, 2075, 2326, 2569, 2658, 2986, 3272, 3317, 3370, 3523, 3566, 3654, 3742, 3834, 3920, 3931, 4125, 4225, 4279, 4361, 4393, 4394, 4708, 4717, 4984, 5038, 5059, 5137, 5180, 5206, 5213, 5325, 5499, 6482, 6496, 7232, 7335, 7666, 7849, 7906, 7925, 7954, 8070, 8130, 8269, 8279, 8623, 8714, 9169, 9435, 9774, 9880, 9996, 11308, 11560, 12546, 13190, 13255, 13291, 13296, 13302, 13404, 13424, 13548, 13560, 13609, 13641, 13660, 13719, 13876, 13940, 13947, 13983, 14142, 14156, 14222, 14338, 14421, 14437, 14439, 14444, 14607, 14867, 14903, 15275, 15295, 15345, 15441, 15531, 15588, 15652"
0x057d1e845402b371eb793135f877966b47577e28,98,0,0,0,0,0,0,0,"1469, 1493, 2507, 2748, 2795, 3338, 3400, 3597, 3608, 3657, 3826, 3850, 4096, 4158, 4232, 4569, 4571, 4575, 4585, 4703, 4766, 4809, 5024, 5026, 5112, 5179, 5208, 5220, 5226, 5551, 5920, 5975, 6182, 6206, 6248, 6451, 6544, 6572, 6574, 6690, 7193, 7391, 7453, 7559, 7724, 7914, 8062, 8069, 8112, 8122, 8324, 8347, 8645, 8647, 8784, 8877, 9122, 9130, 9387, 9623, 9686, 9765, 9980, 10511, 10766, 10772, 10953, 11442, 11568, 11597, 11706, 11977, 12006, 12204, 12451, 12460, 12534, 12562, 12712, 12765, 12889, 13065, 13394, 13419, 13440, 13911, 14045, 14270, 14369, 14471, 14565, 14864, 14915, 14980, 15291, 15363, 15819, 15971"
0x9ba58eea1ea9abdea25ba83603d54f6d9a01e506,95,1,0,0,0,0,0,0,"284, 323, 329, 412, 428, 436, 446, 620, 624, 629, 677, 680, 681, 682, 685, 698, 923, 1064, 1065, 1153, 1174, 1260, 1261, 1519, 1527, 1533, 1559, 1616, 1655, 1695, 1701, 1844, 1919, 2062, 2153, 2242, 2251, 2280, 2324, 2325, 2387, 2472, 2615, 2616, 2625, 2629, 2639, 2733, 2755, 2850, 2959, 2974, 3573, 3814, 4072, 4502, 4566, 4611, 4886, 5153, 5164, 5261, 5634, 6235, 6410, 6470, 6613, 6927, 7611, 7625, 8186, 8355, 8455, 9110, 9728, 10077, 10325, 10699, 10741, 10973, 11031, 11396, 11886, 12071, 12919, 12947, 13525, 13572, 13751, 14060, 14241, 14256, 14265, 15164, 15410"
