winner,tickets,opepen_count,checks_tickets,set40,set20,set10,set5,set4,set1
0xaec4075e4fc8ce829bc4f0cfd5e2fa10dd2b12d1,4076,395,126,"1308, 13800, 12545, 13500, 8146, 11543, 14454, 6299, 7057, 5272, 9324, 12284, 9864, 12743, 7247, 13917, 12429, 9489, 15308, 13954, 14051, 1342, 1430, 11558, 13689, 15074, 7446, 2859, 13636, 4338, 13527, 10071, 14464, 11668, 12112, 7593, 13627, 3793, 9046, 10948, 11616, 15305, 12968, 15233, 9146, 6187, 14455, 11029, 13462, 6306, 14447, 4720, 4441, 4171, 15648, 1611, 12276, 15649, 11323, 14633, 15600, 13443, 13700, 1903, 15717, 5578, 11805, 5495, 5304, 6992, 12250, 6245, 14833, 5886, 11226, 8846, 7503, 9474, 15375, 12252, 11675, 9589, 7264, 13337, 6520, 15993, 15125, 8656, 6059, 12530, 9120, 7932, 11884, 1875, 11256, 6921, 7973, 4077, 13808, 5982, 6953, 9201, 6687, 15098, 2210, 4228, 6472, 9616, 14294, 10997, 12734, 12278, 12125, 9846, 6644, 13590, 15004, 13816, 12093, 9072, 6296, 4027, 12080, 12794, 4172, 13713, 14588, 3928, 8277, 1585, 13453, 15347, 14457, 15890, 6481, 3281, 2441, 6229, 6834, 15956, 8519, 2373, 7950, 7362, 1732, 11274, 9445, 7638, 2431, 6984, 7013, 12495, 14617, 10510, 6145, 2233, 6303, 10018, 9383, 5956, 11258, 8262, 10304, 8744, 7423, 5442, 10901, 14484, 10696, 7845, 12229, 12233, 4012, 1438, 7481, 10733, 11183, 5974, 6911, 12774, 13715, 8882, 7526, 15423, 14302, 10934, 13586, 6304, 14979","1054, 1231, 1268, 3729, 5613, 12872, 3623, 2505, 13393, 1847, 6393, 14137, 3187, 1868, 5969, 5717, 7769, 14381, 11203, 14758, 8556, 7899, 12756, 2258, 10937, 15356, 4366, 6312, 7354, 10255, 2106, 11584, 14797, 9270, 6298, 12214, 14865, 7199, 15166, 13516, 7826, 9171, 6055, 4753, 9086, 14977, 15553, 2502, 13767, 8781, 4263, 14280, 1373, 6309, 12525, 15115, 13568, 10040, 13470, 13557, 9386, 11338, 4956, 12068, 8678, 8655, 14449, 3002, 6305, 11676, 10321, 10327, 12386, 14361, 5348, 10920, 14808, 12464, 12847, 5778, 1693, 12686, 1510, 15554, 12816, 5720, 11698, 6895, 7194, 13196, 14549, 9653, 9428, 13191, 12044, 5701, 7996, 6156","462, 13608, 4183, 13212, 4760, 11679, 8768, 9296, 9916, 13742, 14165, 11916, 10786, 3832, 1734, 9041, 15020, 3963, 1395, 12620, 6876, 13087, 5280, 11382, 2773, 6601, 1982, 10059, 8407, 5748, 3591, 12697, 1639, 6379, 6314, 8054, 14594, 14704, 7133, 14450, 10835, 3432, 13016, 11106","13262, 8949, 9738, 8482, 8268, 1434, 14264, 15935, 10518, 10593, 15097, 12741, 1560, 10778, 13105, 10250, 11725, 5877, 4842, 2806, 10592, 14013, 9594, 7688, 3754, 15703, 9655, 8571, 2453, 10734, 3307, 1989, 15096, 13655, 6869, 10623","7981, 2827, 8836, 530, 9800, 9129, 9425, 12632, 10998, 13189, 5706, 7729, 14397, 4670, 8724, 13999, 12235, 9280, 14494, 12746, 14125, 5217","431, 8664, 7524, 14520, 3433, 10313"
0x16a2ebd556af2a39eba349be7d6eba7a57c47711,1312,122,92,"551, 581, 598, 660, 7000, 2039, 15683, 4007, 8078, 2448, 6829, 2454, 2227, 7192, 9374, 15409, 3776, 8873, 983, 3764, 2428, 3168, 3730, 6456, 1962, 1277, 5414, 8288, 5678, 9119, 4024, 1031, 3868, 9898, 1170, 7774, 4269, 2030, 1360, 6764, 3878, 1613, 1631, 2204, 2036, 12293, 6529, 5005, 7773, 2297, 4848, 1952, 13666, 2021","51, 92, 98, 8807, 865, 946, 10036, 8008, 5234, 8214, 724, 4141, 2041, 967, 5095, 6391, 3669, 1800, 7880, 8302, 1796, 619, 2025, 6000, 8080, 3561, 1978, 6696, 6789, 822, 8575, 819, 317, 10680, 9571","806, 5445, 1003, 495, 4767, 914, 7766, 2833, 5345, 1863, 732, 320, 10980, 1676, 7070, 6179, 5513","272, 786, 930, 1317, 14242, 696, 2010","1157, 8899, 15776, 940, 1938, 11037, 6080","45, 2008"
0xd52fba65a52214a65c78dc7f95c9fee1f13a5955,1269,94,329,"9900, 9295, 2548, 5216, 9767, 5626, 10740, 7700, 9228, 10485, 5988, 15995, 4219, 15809, 13339, 4988, 8930, 12319, 2884","1443, 1464, 1599, 1698, 1854, 1966, 2232, 2364, 5295, 3104, 12787, 11994, 14377, 2617, 9205, 3237, 15959, 5593, 3720, 12607, 15865, 4811, 5262, 13757, 8344, 9025, 12216, 10034, 10809, 13694, 12318, 2725, 10161, 3628, 4223, 15820, 12531, 9953, 5306","1320, 14817, 7121, 15044, 9948, 13904, 12343, 5504, 4758, 13790, 2698, 4371, 4139, 10819, 11149, 16000, 10559, 4624, 11979, 8658, 10014, 4865","11071, 7372, 6441, 1425, 5749, 6559, 2121","1193, 4528, 5703","562, 686, 1036, 1187"
0x5efdb6d8c798c2c2bea5b1961982a5944f92a5c1,726,29,436,,"8585, 11436, 12039, 14498, 11914, 14221","7529, 8089, 8117, 12027, 11816, 13436","1882, 2696, 3758, 5244, 5346, 6945, 11387, 14431, 15990, 7824","1401, 1771, 5390, 6562","955, 6684, 5391"
0xc0dcce9d4f0e5dbf20dc2631786550dbdeebf756,234,17,64,"3268, 2052, 2273, 12397, 13935, 3656","11669, 8732, 14958, 9684, 14891, 6948, 7596","9237, 12552",3019,,281
0x3c1bee74ff0d159ab06b6113417fc536499057c6,252,17,82,"3759, 10104, 11334, 15994, 2362, 13625, 9151, 5451, 11715","14504, 1797, 10968","11162, 10150, 5960",,14300,1257
0x5f45c7ea2e094fea813a8a8813620ffcc4a19d0f,230,16,70,13796,"7658, 8914, 12383, 12715, 13622, 9375, 10845, 14589","15987, 4547","8075, 9753",9954,"1874, 14597"
0xc8f8e2f59dd95ff67c3d39109eca2e2a017d4c8a,303,15,153,,"1541, 5432, 9349, 9926, 10331, 12843, 15612","1530, 7827, 10813, 6845, 5259",305,,"145, 10362"
0x12c29df62b1b254e1311bef777a37bf8c575b58d,215,15,65,"5924, 11438, 6803, 8215","15999, 12322, 13021, 6085, 15659, 12237, 10903","12358, 14385",5341,,4450
0xe3603cf313dcd49cc3061c9850a474d40aa81159,198,13,68,"9494, 14968, 1150","6699, 2365, 9675, 1103","15989, 2055, 1931",8082,,"151, 2442"
0x1f8615a2caa4c8ab08bf1312e022341022c90e37,217,12,97,11233,"1738, 1770, 3973, 12053, 11332, 7573",9292,"1403, 13987",1792,444
0x962a7d642178c87eeec92240669ec98f868dc54e,181,9,91,,"333, 7832, 9022, 15988","15861, 8399","7462, 7515",,100
0x881475210e75b814d5b711090a064942b6f30605,161,9,71,,"4020, 1688","2144, 15986","8210, 7010, 6280",1480,255
0x188386d433e070826ef3a2ca5d9edf595aa441de,155,9,65,14955,10140,"13704, 12822, 4702, 15739, 5467, 15997",,,4352
0x324111baf9886e0456d74cef0ecbd49ed0779ee1,121,4,81,,,15991,14374,750,343
0x7a3cf7122eb2e3f3820f0afaaac4206cdc50bd7e,94,3,64,,"14572, 15996",,,,14462
0x694a0cf945ae8ee9536c07ce6246d60a65f32f3c,94,3,64,,,15998,,15949,1091
0x51787a2c56d710c68140bdadefd3a98bff96feb4,117,2,97,,,,,7333,4100
